     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1900,         9,         0,   0.042,bplsd,fdfa3902a49b2ba705739bf0cd486593c23f688f869623688db5a26a3759c347,"{""d"":3,""p"":0.003,""rounds"":3}",
       100,         1,         0,   0.065,bposd,a6afccb7294493f5ebb587a4c0f1846a65cb089d9735ad505939fff73351089c,"{""d"":5,""p"":0.003,""rounds"":5}",
       200,         0,         0,   0.082,bposd,a6afccb7294493f5ebb587a4c0f1846a65cb089d9735ad505939fff73351089c,"{""d"":5,""p"":0.003,""rounds"":5}",
       600,         1,         0,   0.211,bposd,a6afccb7294493f5ebb587a4c0f1846a65cb089d9735ad505939fff73351089c,"{""d"":5,""p"":0.003,""rounds"":5}",
       100,         1,         0,   0.008,bposd,2eb518dea6a5259bac766caa07f5d73f3172b294a4fb2fa18bf2d1e927e58fea,"{""d"":3,""p"":0.005,""rounds"":3}",
       100,         0,         0,   0.011,belief_find,e198aec2f01fd655e196ef736c6383dc9cd7e27be91435b5512e7dc59095a74c,"{""d"":3,""p"":0.005,""rounds"":3}",
       100,         2,         0,   0.014,bplsd,3afbb08915244b24a54bcf4b73da91a98b8b31c92b717688780d81338c91a249,"{""d"":3,""p"":0.005,""rounds"":3}",
       200,         3,         0,   0.019,bposd,2eb518dea6a5259bac766caa07f5d73f3172b294a4fb2fa18bf2d1e927e58fea,"{""d"":3,""p"":0.005,""rounds"":3}",
       100,         4,         0,   0.065,bplsd,948490da94008bd3bbc08311f4b39bad2a1f35c740c76f62ea71c6e010fb2283,"{""d"":5,""p"":0.003,""rounds"":5}",
       100,         1,         0,   0.081,belief_find,1c5757a5030537229bbf1bcb5abad20e3bfbddec3ebdad0f7fffe62a6461ce23,"{""d"":5,""p"":0.003,""rounds"":5}",
       200,         2,         0,   0.013,bposd,2eb518dea6a5259bac766caa07f5d73f3172b294a4fb2fa18bf2d1e927e58fea,"{""d"":3,""p"":0.005,""rounds"":3}",
       100,         1,         0,   0.020,bposd,2eb518dea6a5259bac766caa07f5d73f3172b294a4fb2fa18bf2d1e927e58fea,"{""d"":3,""p"":0.005,""rounds"":3}",
       600,        11,         0,   0.026,bposd,2eb518dea6a5259bac766caa07f5d73f3172b294a4fb2fa18bf2d1e927e58fea,"{""d"":3,""p"":0.005,""rounds"":3}",
       100,         0,         0,   0.080,belief_find,1c5757a5030537229bbf1bcb5abad20e3bfbddec3ebdad0f7fffe62a6461ce23,"{""d"":5,""p"":0.003,""rounds"":5}",
       100,         0,         0,   0.146,bposd,2167ca65e894a55566d979b99d3d74149cf1ee07a075da17bd3b5e4b2bb8c544,"{""d"":5,""p"":0.005,""rounds"":5}",
