     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       155,         8,         0,    2.35,belief_find,4161e74b1d2e6040fe3fc0e516fe0281f810e8559c3cf2c06343292c06bff7a4,"{""d"":9,""p"":0.005,""rounds"":9}",
       100,         3,         0,   0.127,bposd,c588a13c681d584af0bc3a7e3bd6c6addfec4ebc22e79f2ba96ec9f5fb53386d,"{""d"":5,""p"":0.007,""rounds"":5}",
       600,         8,         0,    5.96,bplsd,bba88382ac0d44f036611ea7e565c5259bec738836ae355c6aabceaf427d4b78,"{""d"":9,""p"":0.005,""rounds"":9}",
       200,        11,         0,   0.218,bposd,c588a13c681d584af0bc3a7e3bd6c6addfec4ebc22e79f2ba96ec9f5fb53386d,"{""d"":5,""p"":0.007,""rounds"":5}",
       600,        26,         0,   0.501,bposd,c588a13c681d584af0bc3a7e3bd6c6addfec4ebc22e79f2ba96ec9f5fb53386d,"{""d"":5,""p"":0.007,""rounds"":5}",
      3476,        23,         0,    27.3,belief_find,0637b8ea7962bd637755ee6a6b474c8513fa851bc8e65e92d91cdbca4e5be56c,"{""d"":9,""p"":0.003,""rounds"":9}",
       100,         4,         0,   0.158,belief_find,78ebc1694987d51e620828a1795228ffa7cdaa37f8aebe3f132db33db7a9f5c7,"{""d"":5,""p"":0.007,""rounds"":5}",
       200,        12,         0,   0.263,belief_find,78ebc1694987d51e620828a1795228ffa7cdaa37f8aebe3f132db33db7a9f5c7,"{""d"":5,""p"":0.007,""rounds"":5}",
      1363,        59,         0,    1.15,bposd,c588a13c681d584af0bc3a7e3bd6c6addfec4ebc22e79f2ba96ec9f5fb53386d,"{""d"":5,""p"":0.007,""rounds"":5}",
       600,        34,         0,   0.661,belief_find,78ebc1694987d51e620828a1795228ffa7cdaa37f8aebe3f132db33db7a9f5c7,"{""d"":5,""p"":0.007,""rounds"":5}",
        68,         3,         0,   0.085,bposd,c588a13c681d584af0bc3a7e3bd6c6addfec4ebc22e79f2ba96ec9f5fb53386d,"{""d"":5,""p"":0.007,""rounds"":5}",
       100,         6,         0,   0.083,bplsd,f7fffa545cc254a49e2a84b9387c6e04943c05b236bdf0abaf3ab0030e2e24a4,"{""d"":5,""p"":0.007,""rounds"":5}",
       200,         9,         0,   0.153,bplsd,f7fffa545cc254a49e2a84b9387c6e04943c05b236bdf0abaf3ab0030e2e24a4,"{""d"":5,""p"":0.007,""rounds"":5}",
       600,        27,         0,   0.476,bplsd,f7fffa545cc254a49e2a84b9387c6e04943c05b236bdf0abaf3ab0030e2e24a4,"{""d"":5,""p"":0.007,""rounds"":5}",
       919,        50,         0,   0.915,belief_find,78ebc1694987d51e620828a1795228ffa7cdaa37f8aebe3f132db33db7a9f5c7,"{""d"":5,""p"":0.007,""rounds"":5}",
       100,         7,         0,   0.503,bposd,36fdbc007d2b1a63ef3beaeef5bc7b5cf96b292f4254c75b7563ae0872bd09f2,"{""d"":7,""p"":0.007,""rounds"":7}",
       884,        43,         0,    12.9,belief_find,4161e74b1d2e6040fe3fc0e516fe0281f810e8559c3cf2c06343292c06bff7a4,"{""d"":9,""p"":0.005,""rounds"":9}",
      1258,        61,         0,    1.03,bplsd,f7fffa545cc254a49e2a84b9387c6e04943c05b236bdf0abaf3ab0030e2e24a4,"{""d"":5,""p"":0.007,""rounds"":5}",
      1000,        17,         0,    9.15,bplsd,bba88382ac0d44f036611ea7e565c5259bec738836ae355c6aabceaf427d4b78,"{""d"":9,""p"":0.005,""rounds"":9}",
       200,        11,         0,   0.695,bposd,36fdbc007d2b1a63ef3beaeef5bc7b5cf96b292f4254c75b7563ae0872bd09f2,"{""d"":7,""p"":0.007,""rounds"":7}",
       100,         4,         0,   0.440,bposd,36fdbc007d2b1a63ef3beaeef5bc7b5cf96b292f4254c75b7563ae0872bd09f2,"{""d"":7,""p"":0.007,""rounds"":7}",
       200,         8,         0,   0.811,bposd,36fdbc007d2b1a63ef3beaeef5bc7b5cf96b292f4254c75b7563ae0872bd09f2,"{""d"":7,""p"":0.007,""rounds"":7}",
       511,         9,         0,    4.45,bplsd,bba88382ac0d44f036611ea7e565c5259bec738836ae355c6aabceaf427d4b78,"{""d"":9,""p"":0.005,""rounds"":9}",
       100,        12,         0,   0.755,belief_find,0a2e81d9fa49a4411c5729367dd43f1f446699344a12642a2759bbaf67cf0c98,"{""d"":7,""p"":0.007,""rounds"":7}",
       201,        11,         0,   0.723,bposd,36fdbc007d2b1a63ef3beaeef5bc7b5cf96b292f4254c75b7563ae0872bd09f2,"{""d"":7,""p"":0.007,""rounds"":7}",
       100,         9,         0,   0.526,bplsd,e5315bef8e61c45000f826010420bbb295dc932a57ef31caa0467dddfba9c9be,"{""d"":7,""p"":0.007,""rounds"":7}",
      2000,        23,         0,    16.4,bposd,d439202f425b3de1cbdbd0d265b6f944fc8acfb6293d688de31ed6a47dcb2499,"{""d"":9,""p"":0.005,""rounds"":9}",
       100,         8,         0,   0.667,belief_find,0a2e81d9fa49a4411c5729367dd43f1f446699344a12642a2759bbaf67cf0c98,"{""d"":7,""p"":0.007,""rounds"":7}",
       200,        16,         0,    1.29,belief_find,0a2e81d9fa49a4411c5729367dd43f1f446699344a12642a2759bbaf67cf0c98,"{""d"":7,""p"":0.007,""rounds"":7}",
       600,        32,         0,    2.06,bposd,36fdbc007d2b1a63ef3beaeef5bc7b5cf96b292f4254c75b7563ae0872bd09f2,"{""d"":7,""p"":0.007,""rounds"":7}",
       200,        26,         0,    1.27,belief_find,0a2e81d9fa49a4411c5729367dd43f1f446699344a12642a2759bbaf67cf0c98,"{""d"":7,""p"":0.007,""rounds"":7}",
       595,        36,         0,    2.09,bposd,36fdbc007d2b1a63ef3beaeef5bc7b5cf96b292f4254c75b7563ae0872bd09f2,"{""d"":7,""p"":0.007,""rounds"":7}",
       200,         7,         0,   0.925,bplsd,e5315bef8e61c45000f826010420bbb295dc932a57ef31caa0467dddfba9c9be,"{""d"":7,""p"":0.007,""rounds"":7}",
       100,         1,         0,   0.472,bplsd,e5315bef8e61c45000f826010420bbb295dc932a57ef31caa0467dddfba9c9be,"{""d"":7,""p"":0.007,""rounds"":7}",
       131,        11,         0,   0.888,belief_find,0a2e81d9fa49a4411c5729367dd43f1f446699344a12642a2759bbaf67cf0c98,"{""d"":7,""p"":0.007,""rounds"":7}",
       200,         7,         0,   0.855,bplsd,e5315bef8e61c45000f826010420bbb295dc932a57ef31caa0467dddfba9c9be,"{""d"":7,""p"":0.007,""rounds"":7}",
       100,         7,         0,    1.12,bposd,8a84a1e88767c1fb8de12841d55736f27d5361e49b2e2dc59553db2697f840d5,"{""d"":9,""p"":0.007,""rounds"":9}",
      6600,        10,         0,    38.1,bplsd,62f20e98e723bf0eefcc7eee19fd018397d5e4ff7939cd299dd367991237abd2,"{""d"":9,""p"":0.003,""rounds"":9}",
       182,         6,         0,   0.752,bplsd,e5315bef8e61c45000f826010420bbb295dc932a57ef31caa0467dddfba9c9be,"{""d"":7,""p"":0.007,""rounds"":7}",
       950,        12,         0,    8.36,bplsd,bba88382ac0d44f036611ea7e565c5259bec738836ae355c6aabceaf427d4b78,"{""d"":9,""p"":0.005,""rounds"":9}",
       385,        35,         0,    2.24,belief_find,0a2e81d9fa49a4411c5729367dd43f1f446699344a12642a2759bbaf67cf0c98,"{""d"":7,""p"":0.007,""rounds"":7}",
       125,         8,         0,   0.522,bplsd,e5315bef8e61c45000f826010420bbb295dc932a57ef31caa0467dddfba9c9be,"{""d"":7,""p"":0.007,""rounds"":7}",
       294,        15,         0,    1.34,bplsd,e5315bef8e61c45000f826010420bbb295dc932a57ef31caa0467dddfba9c9be,"{""d"":7,""p"":0.007,""rounds"":7}",
       600,        25,         0,    2.21,bplsd,e5315bef8e61c45000f826010420bbb295dc932a57ef31caa0467dddfba9c9be,"{""d"":7,""p"":0.007,""rounds"":7}",
       100,         8,         0,   0.107,bposd,d71f3f91b7783f260a287e65bf451f3f410c4e3912b38714ed3630bc5565e285,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
       200,        14,         0,   0.203,bposd,d71f3f91b7783f260a287e65bf451f3f410c4e3912b38714ed3630bc5565e285,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
       100,         2,         0,    1.15,bposd,8a84a1e88767c1fb8de12841d55736f27d5361e49b2e2dc59553db2697f840d5,"{""d"":9,""p"":0.007,""rounds"":9}",
       200,         7,         0,    1.96,bposd,8a84a1e88767c1fb8de12841d55736f27d5361e49b2e2dc59553db2697f840d5,"{""d"":9,""p"":0.007,""rounds"":9}",
       200,        14,         0,    1.90,bposd,8a84a1e88767c1fb8de12841d55736f27d5361e49b2e2dc59553db2697f840d5,"{""d"":9,""p"":0.007,""rounds"":9}",
       600,        46,         0,   0.616,bposd,d71f3f91b7783f260a287e65bf451f3f410c4e3912b38714ed3630bc5565e285,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
       800,        23,         0,    2.92,bplsd,e5315bef8e61c45000f826010420bbb295dc932a57ef31caa0467dddfba9c9be,"{""d"":7,""p"":0.007,""rounds"":7}",
       100,         8,         0,   0.179,belief_find,c11067c82164b91cb003943716811b16d93f9f40fcb3ce1f79aa180034aa80f4,"{""d"":5,""p"":0.009000000000000001,""rounds"":5}",
